seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,1.0,True,,6.727636,0.019000005
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,1.0,True,,6.7467847,0.019141732
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,1.0,True,,6.6452084,0.01935433
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,2.0,True,,6.4503126,0.01985827
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,2.0,True,,6.3281755,0.020685041
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,2.0,True,,6.5422955,0.019740157
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,2.0,True,,6.5975976,0.019700794
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,2.0,True,,6.5139947,0.019716537
0,17,CosineSchedule,md4,gibbs_argmax,8,1.0,4.0,True,,6.2902355,0.01952756
1,17,CosineSchedule,md4,gibbs_argmax,8,1.0,4.0,True,,6.1719465,0.021086616
2,17,CosineSchedule,md4,gibbs_argmax,8,1.0,4.0,True,,6.387544,0.019826775
3,17,CosineSchedule,md4,gibbs_argmax,8,1.0,4.0,True,,6.459101,0.019157482
4,17,CosineSchedule,md4,gibbs_argmax,8,1.0,4.0,True,,6.3536186,0.019716538
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.0,True,,6.5372825,0.020755908
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.0,True,,6.3602486,0.022220474
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.0,True,,6.59284,0.020700794
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.0,True,,6.560402,0.021629922
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.0,True,,6.441872,0.021393707
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.1,True,,6.4144325,0.022401575
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.1,True,,6.2668295,0.023299217
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.1,True,,6.462688,0.022212598
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.1,True,,6.4790444,0.02269291
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.1,True,,6.345744,0.022811025
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.5,True,,6.405444,0.022708666
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.5,True,,6.2936378,0.022889763
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.5,True,,6.476422,0.021984251
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.5,True,,6.54899,0.022204727
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,0.5,True,,6.3435426,0.022480318
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,1.0,True,,6.390095,0.023149608
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,1.0,True,,6.311637,0.023015752
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,1.0,True,,6.408331,0.022472441
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,1.0,True,,6.5232897,0.022023626
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,1.0,True,,6.3504663,0.022677168
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,2.0,True,,6.3649926,0.022417331
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,2.0,True,,6.2643766,0.02343307
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,2.0,True,,6.3621454,0.022551183
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,2.0,True,,6.4574714,0.022039374
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,2.0,True,,6.316621,0.022897642
0,17,CosineSchedule,md4,gibbs_argmax,8,2.0,4.0,True,,6.254276,0.022692919
1,17,CosineSchedule,md4,gibbs_argmax,8,2.0,4.0,True,,6.107453,0.024086619
2,17,CosineSchedule,md4,gibbs_argmax,8,2.0,4.0,True,,6.2445116,0.022858271
3,17,CosineSchedule,md4,gibbs_argmax,8,2.0,4.0,True,,6.251221,0.022850396
4,17,CosineSchedule,md4,gibbs_argmax,8,2.0,4.0,True,,6.176414,0.023559062
0,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.0,True,,6.540289,0.024803156
1,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.0,True,,6.5156527,0.024433073
2,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.0,True,,6.4859385,0.0257874
3,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.0,True,,6.6067924,0.023685038
4,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.0,True,,6.467913,0.025094494
0,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.1,True,,6.2662168,0.02750394
1,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.1,True,,6.185667,0.02870866
2,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.1,True,,6.2366014,0.028874021
3,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.1,True,,6.322549,0.027748035
4,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.1,True,,6.2714357,0.027811022
0,17,CosineSchedule,md4,gibbs_argmax,8,4.0,0.5,True,,6.2256813,0.027708663
