seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
4,64,LinearSchedule,md4,forward_backward,32,,,False,,0.01,5.3222456,0.03470079
0,64,LinearSchedule,md4,forward_backward,32,,,False,,0.1,5.4363985,0.03440945
1,64,LinearSchedule,md4,forward_backward,32,,,False,,0.1,5.393107,0.034637794
2,64,LinearSchedule,md4,forward_backward,32,,,False,,0.1,5.392198,0.03482678
3,64,LinearSchedule,md4,forward_backward,32,,,False,,0.1,5.3983383,0.034472436
4,64,LinearSchedule,md4,forward_backward,32,,,False,,0.1,5.4239583,0.03411811
0,64,LinearSchedule,md4,forward_backward,32,,,False,,0.5,5.406547,0.036110234
1,64,LinearSchedule,md4,forward_backward,32,,,False,,0.5,5.4001603,0.03685039
2,64,LinearSchedule,md4,forward_backward,32,,,False,,0.5,5.396745,0.03587401
3,64,LinearSchedule,md4,forward_backward,32,,,False,,0.5,5.3965173,0.036826767
4,64,LinearSchedule,md4,forward_backward,32,,,False,,0.5,5.450752,0.035858266
0,64,LinearSchedule,md4,forward_backward,32,,,False,,1.0,5.0769477,0.043220475
1,64,LinearSchedule,md4,forward_backward,32,,,False,,1.0,5.1150894,0.043685038
2,64,LinearSchedule,md4,forward_backward,32,,,False,,1.0,5.063892,0.04293701
3,64,LinearSchedule,md4,forward_backward,32,,,False,,1.0,5.083803,0.043299217
4,64,LinearSchedule,md4,forward_backward,32,,,False,,1.0,5.055093,0.043976363
0,64,LinearSchedule,md4,forward_backward,32,,,False,,1.5,4.650994,0.052811023
1,64,LinearSchedule,md4,forward_backward,32,,,False,,1.5,4.6420546,0.0532992
2,64,LinearSchedule,md4,forward_backward,32,,,False,,1.5,4.638185,0.052574806
3,64,LinearSchedule,md4,forward_backward,32,,,False,,1.5,4.5925875,0.053818893
4,64,LinearSchedule,md4,forward_backward,32,,,False,,1.5,4.6054764,0.054559067
0,64,LinearSchedule,md4,forward_backward,32,,,False,,2.0,4.2488217,0.06261417
1,64,LinearSchedule,md4,forward_backward,32,,,False,,2.0,4.272791,0.06339371
2,64,LinearSchedule,md4,forward_backward,32,,,False,,2.0,4.1555743,0.06439369
3,64,LinearSchedule,md4,forward_backward,32,,,False,,2.0,4.1839633,0.06449608
4,64,LinearSchedule,md4,forward_backward,32,,,False,,2.0,4.2228894,0.06395276
0,64,LinearSchedule,md4,forward_backward,32,,,False,,3.0,3.6408112,0.08462203
1,64,LinearSchedule,md4,forward_backward,32,,,False,,3.0,3.6193976,0.0828819
2,64,LinearSchedule,md4,forward_backward,32,,,False,,3.0,3.5697353,0.084811024
3,64,LinearSchedule,md4,forward_backward,32,,,False,,3.0,3.5781176,0.084448814
4,64,LinearSchedule,md4,forward_backward,32,,,False,,3.0,3.581321,0.08570868
0,64,LinearSchedule,md4,forward_backward,32,,,False,,4.0,3.182813,0.104748026
1,64,LinearSchedule,md4,forward_backward,32,,,False,,4.0,3.1702785,0.10233073
2,64,LinearSchedule,md4,forward_backward,32,,,False,,4.0,3.1458905,0.10402364
